id,category,accommodation_type,name_vi,name_en,description,star_rating,status,address,city,country,distance_description,check_in_out,room_name_vi,space_type,price_vnd_per_night,price_usd_per_night,cleaning_fee_vnd,service_fee_percent,max_guests,bedrooms,beds,bathrooms,rating,reviews_count,amenities_list,is_guest_favorite,is_featured,host_name,host_phone,host_rating,host_reviews_count,is_superhost,thumbnail_url,gallery_urls
11,countryside,resort,"Four Seasons Resort The Nam Hai","Four Seasons The Nam Hai","Biểu tượng xa hoa bậc nhất Hội An với biệt thự biệt lập bên bãi biển. Dịch vụ hoàn hảo đẳng cấp thế giới, không gian cực kỳ yên tĩnh.",5,published,"Block Hà My Đông A, Điện Bàn","Hội An","Việt Nam","Cách phố cổ 8 km, bãi biển Hà My","14:00 – 12:00","Ocean Villa 1BR",entire_place,18000000,726,1500000,12,2,1,1,1,4.99,180,"Wifi, Hồ bơi riêng, Bãi biển riêng, Spa đẳng cấp, 3 nhà hàng, Quản gia, Yoga, Lớp nấu ăn, Xe đạp",TRUE,TRUE,"Four Seasons Hotels","02356 940 000",5.00,320,TRUE,,
12,countryside,resort,"Victoria Hội An Beach Resort & Spa","Victoria Hoi An Resort","Kiến trúc Đông Dương kết hợp nét làng chài độc đáo bên biển Cửa Đại. Hồ bơi lớn hướng biển, dịch vụ dạo phố bằng xe sidecar.",4,published,"Cửa Đại Beach, Cẩm An","Hội An","Việt Nam","Cách phố cổ 4 km, biển Cửa Đại","14:00 – 12:00","Phòng Superior Garden View",entire_place,3200000,129,400000,12,2,1,1,1,4.88,265,"Wifi, Hồ bơi hướng biển, Spa, Nhà hàng, Xe sidecar dạo phố, Sân tennis, Xe đạp miễn phí",TRUE,FALSE,"Victoria Hotels & Resorts","02356 927 040",4.90,420,TRUE,,
13,countryside,resort,"Hoiana Resort & Golf","Hoiana Resort & Golf","Khu phức hợp nghỉ dưỡng đạt giải 'Khu nghỉ dưỡng phức hợp tốt nhất thế giới 2024'. Sân golf quốc tế, hơn 20 nhà hàng.",5,published,"Quảng Nam","Hội An","Việt Nam","Cách phố cổ 10 km","14:00 – 12:00","Hoiana Residences 1BR",entire_place,5500000,222,600000,12,4,1,2,2,4.93,195,"Wifi, Sân golf 18 lỗ, Hồ bơi, Bãi biển, Casino, 20+ nhà hàng, Spa, Kids Club, Giải trí 24/7",TRUE,TRUE,"Hoiana Group","02356 396 999",4.95,340,TRUE,,
14,countryside,resort,"Anantara Hoi An Resort","Anantara Hoi An Resort","Nằm sát dòng sông Thu Bồn với không gian yên bình phong cách thuộc địa. Du thuyền trên sông, gần trung tâm phố cổ.",5,published,"01 Phạm Hồng Thái, Cẩm Châu","Hội An","Việt Nam","Ngay bên sông Thu Bồn, sát phố cổ","14:00 – 12:00","Phòng Deluxe Garden View",entire_place,4200000,169,500000,12,2,1,1,1,4.91,210,"Wifi, Spa, Nhà hàng ven sông, Du thuyền, Lớp nấu ăn, Xe đạp miễn phí, Yoga, Thư viện",TRUE,FALSE,"Minor Hotels","02356 391 4555",4.93,350,TRUE,,
15,countryside,hotel,"Little Riverside Hoi An","Little Riverside Hoi An","Khách sạn boutique 5 sao với hồ bơi vô cực trên tầng thượng nhìn ra sông Hoài. Phong cách sang trọng và lãng mạn.",5,published,"Nguyễn Phúc Chu, Cẩm Châu","Hội An","Việt Nam","Ngay bên sông Hoài, trung tâm phố cổ","14:00 – 12:00","Phòng River View Deluxe",entire_place,3600000,145,400000,12,2,1,1,1,4.94,175,"Wifi, Hồ bơi vô cực rooftop, Spa, Nhà hàng, Bar trên cao, Du thuyền, Xe đạp",TRUE,TRUE,"Hoi An Hospitality","02356 394 1111",4.96,290,TRUE,,
16,beachfront,resort,"InterContinental Nha Trang","InterContinental Nha Trang","Khách sạn 5 sao quốc tế trên đường Trần Phú với view biển tuyệt đẹp. Kiến trúc hiện đại, dịch vụ tiêu chuẩn quốc tế.",5,published,"32-34 Trần Phú","Nha Trang","Việt Nam","Ngay trung tâm, đường biển Trần Phú","14:00 – 12:00","Phòng Classic Ocean View",entire_place,4800000,194,500000,12,2,1,1,1,4.92,310,"Wifi, Hồ bơi vô cực view biển, Spa, 3 nhà hàng, Rooftop Bar, Phòng gym, Bãi biển riêng",TRUE,TRUE,"IHG Hotels","0258 388 7777",4.94,490,TRUE,,
17,beachfront,resort,"Amiana Resort Nha Trang","Amiana Resort Nha Trang","Resort 5 sao với bãi biển riêng, hồ bơi nước mặn và dịch vụ tắm bùn khoáng. Không gian nghỉ dưỡng yên tĩnh, cách xa ồn ào.",5,published,"Phạm Văn Đồng, Vĩnh Hòa","Nha Trang","Việt Nam","Cách trung tâm 5 km, bãi biển riêng","14:00 – 12:00","Amiana Suite Ocean",entire_place,4500000,182,500000,12,2,1,1,1,4.94,245,"Wifi, Bãi biển riêng, Hồ bơi nước mặn, Tắm bùn khoáng, Spa, Nhà hàng, Yoga, Kayak",TRUE,TRUE,"Amiana Group","0258 399 2222",4.95,390,TRUE,,
18,beachfront,resort,"Vinpearl Luxury Nha Trang","Vinpearl Luxury Nha Trang","Resort sang trọng trên đảo Hòn Tre, không gian riêng tư tuyệt đối. Di chuyển bằng cáp treo vượt biển nổi tiếng.",5,published,"Đảo Hòn Tre","Nha Trang","Việt Nam","Đảo Hòn Tre, cáp treo vượt biển","14:00 – 12:00","Biệt thự Beach Front",entire_place,5500000,222,600000,12,4,2,2,2,4.95,180,"Wifi, Biệt thự bãi biển, Hồ bơi riêng, VinWonders, Aquarium, Spa, Sân golf, 5 nhà hàng",TRUE,TRUE,"Vinpearl","0258 359 8598",4.96,520,TRUE,,
19,beachfront,resort,"Mia Resort Nha Trang","Mia Resort Nha Trang","Resort boutique phong cách riêng tư với view biển tuyệt đẹp. Thiết kế tinh tế hòa quyện thiên nhiên, dịch vụ chu đáo.",5,published,"Bãi Đông, Cam Hải Đông, Cam Lâm","Nha Trang","Việt Nam","Bãi biển riêng biệt, yên tĩnh","14:00 – 12:00","Phòng Cliff View",entire_place,4200000,169,500000,12,2,1,1,1,4.91,165,"Wifi, Bãi biển riêng, Hồ bơi vô cực, Spa, Nhà hàng Sandals, Bar, Yoga, Lặn biển",TRUE,FALSE,"Mia Resorts","0258 398 9666",4.93,275,TRUE,,
20,beachfront,resort,"Alma Resort Cam Ranh","Alma Resort Cam Ranh","Resort phong cách Địa Trung Hải với 12 hồ bơi, waterpark và nhiều tiện ích giải trí. Cực kỳ phù hợp cho gia đình.",5,published,"Bãi Dài, Cam Hải Đông, Cam Lâm","Nha Trang","Việt Nam","Bãi Dài Cam Ranh, cách sân bay 10 phút","14:00 – 12:00","Căn hộ 2PN Garden View",entire_place,2800000,113,400000,12,6,2,3,2,4.88,210,"Wifi, 12 hồ bơi, Waterpark, Bãi biển, Kids Club, 5 nhà hàng, Spa, Gym, Cinema, Bếp đầy đủ",FALSE,TRUE,"Alma Group","0258 399 8989",4.90,350,TRUE,,
21,cabins,resort,"Hotel de la Coupole - MGallery","Hotel de la Coupole MGallery Sapa","Khách sạn 5 sao mang kiến trúc Pháp cổ điển sang trọng ngay trung tâm Sa Pa. Kết nối trực tiếp nhà ga cáp treo Fansipan.",5,published,"01 Đường Hoàng Liên","Sa Pa","Việt Nam","Ngay trung tâm, kết nối ga Fansipan","14:00 – 12:00","Phòng Deluxe Valley View",entire_place,3500000,141,400000,12,2,1,1,1,4.93,285,"Wifi, Hồ bơi nước ấm trong nhà, Spa, 2 nhà hàng, Bar, Phòng gym, Kết nối cáp treo Fansipan",TRUE,TRUE,"Accor Hotels","0214 362 8888",4.95,440,TRUE,,
22,cabins,resort,"Silk Path Grand Resort & Spa Sapa","Silk Path Grand Sapa","Resort trên đồi riêng biệt với view thung lũng Mường Hoa, phong cách Pháp cổ điển, vườn hồng cổ lãng mạn.",5,published,"Đồi Silk Path, Lao Chải","Sa Pa","Việt Nam","Trên đồi, view thung lũng Mường Hoa","14:00 – 12:00","Phòng Grand Suite Valley",entire_place,3300000,133,400000,12,2,1,1,1,4.90,195,"Wifi, Hồ bơi vô cực nước ấm, Spa, Nhà hàng, Vườn hồng cổ, Yoga, Trekking, Quầy bar",TRUE,TRUE,"Silk Path Hotels","0214 387 1999",4.92,310,TRUE,,
23,cabins,resort,"Topas Ecolodge Sa Pa","Topas Ecolodge Sapa","Khu nghỉ dưỡng sinh thái biệt lập giữa núi rừng Hoàng Liên Sơn. Nổi tiếng với hồ bơi vô cực hướng thung lũng tuyệt đẹp.",4,published,"Thanh Kim, Sa Pa","Sa Pa","Việt Nam","Cách thị trấn 18 km, giữa núi rừng","14:00 – 12:00","Mountain Bungalow",entire_place,2200000,89,300000,12,2,1,1,1,4.91,155,"Wifi, Hồ bơi vô cực view núi, Nhà hàng, Trekking, Xe đạp, Spa, Bếp lửa trại, Trải nghiệm bản địa",TRUE,TRUE,"Topas Travel","0214 387 1331",4.93,260,TRUE,,
24,cabins,resort,"Pao's Sapa Leisure Hotel","Pao's Sapa Leisure Hotel","Kiến trúc độc đáo lấy cảm hứng từ ruộng bậc thang, view thung lũng Mường Hoa. Dịch vụ 5 sao tiêu chuẩn quốc tế.",5,published,"24 Đường Ngũ Chỉ Sơn","Sa Pa","Việt Nam","Cách trung tâm 1 km, view thung lũng","14:00 – 12:00","Phòng Premier Valley View",entire_place,1800000,73,300000,12,2,1,1,1,4.87,165,"Wifi, Hồ bơi nước ấm, Spa, Nhà hàng, Bar, Phòng gym, View ruộng bậc thang, Trekking",FALSE,FALSE,"Pao's Group","0214 377 1999",4.89,270,TRUE,,
25,cabins,hotel,"KK Sapa Hotel","KK Sapa Hotel","Khách sạn 5 sao trung tâm Sa Pa với tầm nhìn ra dãy Hoàng Liên Sơn. Đầy đủ tiện nghi spa, hồ bơi nước ấm.",5,published,"Trung tâm thị trấn Sa Pa","Sa Pa","Việt Nam","Ngay trung tâm thị trấn","14:00 – 12:00","Phòng Deluxe Mountain View",entire_place,1300000,52,200000,12,2,1,1,1,4.83,140,"Wifi, Hồ bơi nước ấm, Spa, Nhà hàng, Bar, Phòng gym, View Hoàng Liên Sơn",FALSE,FALSE,"KK Hotels","0214 387 2888",4.85,220,TRUE,,
26,beachfront,resort,"InterContinental Danang Sun Peninsula","InterContinental Danang","Kiệt tác của kiến trúc sư Bill Bensley tại Bãi Bắc, bán đảo Sơn Trà. Resort siêu sang cho khách thượng lưu.",5,published,"Bãi Bắc, Sơn Trà","Đà Nẵng","Việt Nam","Bán đảo Sơn Trà, biệt lập","14:00 – 12:00","Ocean View Classic",entire_place,8500000,343,800000,12,2,1,1,1,4.98,260,"Wifi, Bãi biển riêng, Hồ bơi, Nhà hàng Michelin, Spa, Quản gia, Yoga, Thể thao nước, Kids Club",TRUE,TRUE,"IHG Hotels & Resorts","0236 393 8888",4.99,420,TRUE,,
27,beachfront,resort,"Pullman Danang Beach Resort","Pullman Danang Beach","Resort 5 sao trên bãi biển Bắc Mỹ An, vị trí thuận tiện. Phòng connecting cho gia đình, hồ bơi vô cực đẹp.",5,published,"101 Võ Nguyên Giáp, Khê Mỹ","Đà Nẵng","Việt Nam","Bãi biển Mỹ Khê, gần trung tâm","14:00 – 12:00","Phòng Deluxe Ocean",entire_place,3500000,141,400000,12,2,1,1,1,4.89,320,"Wifi, Hồ bơi vô cực, Bãi biển, Spa, 2 nhà hàng, Kids Club, Sân tennis, Phòng gym, Nắng Spa",FALSE,TRUE,"Accor Hotels","0236 395 8888",4.91,490,TRUE,,
28,beachfront,resort,"Hyatt Regency Danang Resort & Spa","Hyatt Regency Danang","Resort hiện đại với không gian xanh mát, hệ thống hồ bơi đa dạng. Rất phù hợp cho gia đình có trẻ nhỏ.",5,published,"5 Trường Sa, Hòa Hải, Ngũ Hành Sơn","Đà Nẵng","Việt Nam","Bãi biển Non Nước","14:00 – 12:00","Regency Suite Sea View",entire_place,5200000,210,500000,12,4,2,2,2,4.91,275,"Wifi, 5 hồ bơi, Bãi biển, Spa, 3 nhà hàng, Kids Club chuyên nghiệp, Phòng gym, Yoga, Xe đạp",TRUE,TRUE,"Hyatt Hotels","0236 398 1234",4.93,410,TRUE,,
29,beachfront,resort,"Naman Retreat Đà Nẵng","Naman Retreat Danang","Nổi tiếng với thiết kế từ tre và đá tự nhiên, mang đậm hơi thở thiền định. Villa có hồ bơi riêng, wellness cao cấp.",5,published,"Trường Sa, Điện Ngọc, Điện Bàn","Đà Nẵng","Việt Nam","Cách trung tâm 15 km, biệt lập","14:00 – 12:00","Naman Pool Villa",entire_place,7000000,282,700000,12,2,1,1,1,4.93,190,"Wifi, Villa hồ bơi riêng, Spa & Wellness, Nhà hàng Hay Hay, Yoga, Thiền, Vật liệu tre tự nhiên",TRUE,TRUE,"Naman Group","0236 395 9888",4.95,310,TRUE,,
30,beachfront,resort,"Mikazuki Japanese Resorts & Spa","Da Nang Mikazuki Resort","Resort phong cách Nhật Bản với tắm khoáng nóng Onsen và công viên nước trong nhà lớn nhất khu vực miền Trung.",5,published,"Xuân Thiều, Liên Chiểu","Đà Nẵng","Việt Nam","Cách trung tâm 12 km, bãi biển Xuân Thiều","14:00 – 12:00","Phòng Onsen Deluxe",entire_place,2200000,89,300000,12,2,1,1,1,4.85,155,"Wifi, Onsen Nhật Bản, Công viên nước, Bãi biển, Spa, Nhà hàng Nhật, Lớp làm sushi, Phòng gym",FALSE,TRUE,"Mikazuki Group","0236 373 7777",4.87,245,TRUE,,
31,lakefront,resort,"Vinpearl Resort & Spa Hạ Long","Vinpearl Resort Ha Long","Khu nghỉ dưỡng biệt lập trên đảo Rều, duy nhất miền Bắc xây trên biển. Kiến trúc tân cổ điển, 3 bãi biển riêng.",5,published,"Đảo Rều, Hạ Long","Hạ Long","Việt Nam","Đảo Rều, view vịnh 180 độ","14:00 – 12:00","Biệt thự Beach Villa",entire_place,5000000,202,600000,12,4,2,2,2,4.92,280,"Wifi, 3 bãi biển riêng, Hồ bơi, Spa, Golf mini, Kids Club, 4 nhà hàng, Thể thao nước",TRUE,TRUE,"Vinpearl","0203 384 6666",4.94,450,TRUE,,
32,lakefront,resort,"FLC Halong Bay Golf Club & Luxury Resort","FLC Ha Long Resort","Resort đẳng cấp trên đồi với tầm nhìn bao quát vịnh Hạ Long. Sân golf 18 lỗ, dịch vụ 5 sao.",5,published,"Bãi Cháy, Hạ Long","Hạ Long","Việt Nam","Trên đồi, view toàn vịnh Hạ Long","14:00 – 12:00","Phòng Luxury Bay View",entire_place,3500000,141,400000,12,2,1,1,1,4.87,195,"Wifi, Sân golf 18 lỗ, Hồ bơi, Spa, 3 nhà hàng, Bar, Phòng gym, Bãi biển, View vịnh panorama",TRUE,FALSE,"FLC Group","0203 384 2888",4.89,310,TRUE,,
33,lakefront,hotel,"A La Carte Ha Long Bay","A La Carte Ha Long Bay","Khách sạn 5 sao hiện đại với bể bơi vô cực trên tầng thượng có view vịnh Hạ Long tuyệt đẹp.",5,published,"Bãi Cháy, Hạ Long","Hạ Long","Việt Nam","Trung tâm Bãi Cháy","14:00 – 12:00","Phòng Premium Bay View",entire_place,2800000,113,300000,12,2,1,1,1,4.88,175,"Wifi, Hồ bơi vô cực rooftop, Spa, Nhà hàng, Sky Bar, Phòng gym, View vịnh Hạ Long",FALSE,TRUE,"A La Carte Hotels","0203 363 6688",4.90,280,TRUE,,
34,lakefront,hotel,"InterContinental Halong Bay Resort","InterContinental Ha Long","Một trong những thương hiệu nghỉ dưỡng mới sang trọng bậc nhất khu vực với tiện ích đỉnh cao.",5,published,"Bãi Cháy, Hạ Long","Hạ Long","Việt Nam","Bãi Cháy, view vịnh","14:00 – 12:00","Phòng Classic Bay View",entire_place,4200000,169,500000,12,2,1,1,1,4.93,150,"Wifi, Hồ bơi, Bãi biển, Spa quốc tế, Nhà hàng fine-dining, Bar, Phòng gym, View vịnh Hạ Long",TRUE,TRUE,"IHG Hotels","0203 399 8888",4.95,240,TRUE,,
35,lakefront,hotel,"Oakwood Ha Long Resort","Oakwood Ha Long Resort","Khu nghỉ dưỡng cao cấp với hệ thống biệt thự hiện đại, không gian xanh. Phù hợp cho gia đình và nhóm bạn.",5,published,"Bãi Cháy, Hạ Long","Hạ Long","Việt Nam","Bãi Cháy, không gian xanh","14:00 – 12:00","Villa 2BR Garden View",entire_place,3800000,153,400000,12,6,2,3,2,4.89,165,"Wifi, Biệt thự riêng, Hồ bơi, Spa, Nhà hàng, Kids Club, Bếp đầy đủ, BBQ, Phòng gym",FALSE,FALSE,"Oakwood Hotels","0203 363 7888",4.91,260,TRUE,,
36,iconic_cities,hotel,"Sofitel Legend Metropole Hà Nội","Sofitel Legend Metropole Hanoi","Biểu tượng lịch sử Hà Nội từ 1901, kiến trúc Pháp cổ điển tuyệt mỹ. Từng đón tiếp nhiều nguyên thủ quốc gia và người nổi tiếng.",5,published,"15 Ngô Quyền, Hoàn Kiếm","Hà Nội","Việt Nam","Ngay trung tâm, cạnh Nhà hát Lớn","14:00 – 12:00","Premium Room Historical Wing",entire_place,10500000,423,800000,12,2,1,1,1,4.97,380,"Wifi, Hồ bơi, Spa, Le Beaulieu Restaurant, Angelina Bar, Hầm trú ẩn lịch sử, Phòng gym, Butler",TRUE,TRUE,"Accor Hotels","024 3826 6919",4.98,620,TRUE,,
37,iconic_cities,hotel,"InterContinental Hanoi Westlake","InterContinental Hanoi Westlake","Không gian nghỉ dưỡng yên tĩnh bên Hồ Tây với kiến trúc over-water độc đáo. View hoàng hôn trên hồ tuyệt đẹp.",5,published,"5 Từ Hoa, Quảng An, Tây Hồ","Hà Nội","Việt Nam","Bên Hồ Tây, yên tĩnh","14:00 – 12:00","Phòng Deluxe Lake View",entire_place,5500000,222,500000,12,2,1,1,1,4.90,265,"Wifi, Hồ bơi vô cực, Spa, Sunset Bar, Nhà hàng Milano, Phòng gym, Yoga, View Hồ Tây",TRUE,TRUE,"IHG Hotels","024 6270 8888",4.92,420,TRUE,,
38,iconic_cities,hotel,"Pan Pacific Hanoi","Pan Pacific Hanoi","Khách sạn 5 sao với tầm nhìn panorama Hồ Tây và thành phố. Hồ bơi bốn mùa, rooftop bar sôi động.",5,published,"1 Thanh Niên, Ba Đình","Hà Nội","Việt Nam","Cạnh Hồ Tây, trung tâm Ba Đình","14:00 – 12:00","Phòng Deluxe City View",entire_place,2800000,113,300000,12,2,1,1,1,4.88,210,"Wifi, Hồ bơi bốn mùa, Spa, Pacifica Restaurant, Rooftop Bar, Phòng gym, View panorama",FALSE,TRUE,"Pan Pacific Hotels","024 3823 8888",4.90,340,TRUE,,
39,iconic_cities,hotel,"The Oriental Jade Hotel & Spa","Oriental Jade Hotel Hanoi","Khách sạn boutique 5 sao sang trọng tại vị trí đắc địa gần hồ Hoàn Kiếm và phố cổ. Dịch vụ spa cao cấp.",5,published,"20 Ngô Quyền, Hoàn Kiếm","Hà Nội","Việt Nam","Cạnh hồ Hoàn Kiếm, phố cổ","14:00 – 12:00","Jade Premium Room",entire_place,3200000,129,300000,12,2,1,1,1,4.93,180,"Wifi, Hồ bơi rooftop, Spa cao cấp, Nhà hàng, Quầy bar, Phòng gym, View phố cổ, Butler",TRUE,TRUE,"Oriental Jade Group","024 3823 5555",4.95,290,TRUE,,
40,iconic_cities,hotel,"Dolce by Wyndham Hanoi Golden Lake","Dolce Hanoi Golden Lake","Khách sạn dát vàng nổi tiếng thế giới với thiết kế xa hoa độc đáo. Hồ bơi vô cực dát vàng trên tầng thượng.",5,published,"B7 Giảng Võ, Ba Đình","Hà Nội","Việt Nam","Trung tâm Ba Đình","14:00 – 12:00","Phòng Golden Deluxe",entire_place,2500000,101,300000,12,2,1,1,1,4.78,145,"Wifi, Hồ bơi dát vàng rooftop, Spa, Nhà hàng, Bar, Phòng gym, Thiết kế dát vàng 24K",FALSE,FALSE,"Wyndham Hotels","024 3927 8888",4.80,230,FALSE,,
41,beachfront,resort,"FLC Luxury Resort Quy Nhơn","FLC Luxury Resort Quy Nhon","Quần thể nghỉ dưỡng 5 sao đẳng cấp với villa hồ bơi riêng, sân golf 36 lỗ, vườn thú Safari và giải trí đa dạng.",5,published,"Nhơn Lý, Quy Nhơn","Quy Nhơn","Việt Nam","Bãi biển Nhơn Lý, cách trung tâm 15 km","14:00 – 12:00","Villa Hồ Bơi Riêng 1BR",entire_place,6500000,262,600000,12,4,1,2,2,4.88,195,"Wifi, Hồ bơi riêng, Sân golf 36 lỗ, Safari, Bãi biển riêng, Spa, 5 nhà hàng, Kids Club, Xe đạp",TRUE,TRUE,"FLC Group","0256 384 0000",4.90,310,TRUE,,
