id,hotel_id,hotel_name,city,image_order,image_type,image_description,image_url,google_search_link
13,3,"Dalat Edensee Lake Resort","Đà Lạt",3,pool,"Khu vực hồ bơi và giải trí",,https://www.google.com/search?q=Dalat+Edensee+Lake+Resort+pool&tbm=isch
14,3,"Dalat Edensee Lake Resort","Đà Lạt",4,view,"View hồ Tuyền Lâm và rừng thông",,https://www.google.com/search?q=Dalat+Edensee+Lake+Resort+Tuyen+Lam+lake+view&tbm=isch
15,3,"Dalat Edensee Lake Resort","Đà Lạt",5,amenity,"Cinema riêng và phòng giải trí",,https://www.google.com/search?q=Dalat+Edensee+Lake+Resort+cinema+entertainment&tbm=isch
16,4,"MerPerle Dalat Hotel","Đà Lạt",1,exterior,"Mặt tiền khách sạn kiến trúc bán cổ điển",,https://www.google.com/search?q=MerPerle+Dalat+Hotel+exterior+facade&tbm=isch
17,4,"MerPerle Dalat Hotel","Đà Lạt",2,room,"Phòng Grand Deluxe hiện đại",,https://www.google.com/search?q=MerPerle+Dalat+Hotel+Grand+Deluxe+room&tbm=isch
18,4,"MerPerle Dalat Hotel","Đà Lạt",3,pool,"Hồ bơi nước ấm trong nhà",,https://www.google.com/search?q=MerPerle+Dalat+Hotel+indoor+warm+pool&tbm=isch
19,4,"MerPerle Dalat Hotel","Đà Lạt",4,view,"Sky Bar 360 độ view toàn thành phố",,https://www.google.com/search?q=MerPerle+Dalat+Hotel+Sky+Bar+360+view&tbm=isch
20,4,"MerPerle Dalat Hotel","Đà Lạt",5,amenity,"Spa Hàn Quốc và nhà hàng buffet",,https://www.google.com/search?q=MerPerle+Dalat+Hotel+spa+restaurant&tbm=isch
21,5,"Hôtel Colline Đà Lạt","Đà Lạt",1,exterior,"Mặt tiền boutique hotel trung tâm",,https://www.google.com/search?q=Hotel+Colline+Da+Lat+exterior&tbm=isch
22,5,"Hôtel Colline Đà Lạt","Đà Lạt",2,room,"Phòng Superior City View",,https://www.google.com/search?q=Hotel+Colline+Da+Lat+superior+room&tbm=isch
23,5,"Hôtel Colline Đà Lạt","Đà Lạt",3,pool,"Sảnh khách sạn thiết kế hiện đại",,https://www.google.com/search?q=Hotel+Colline+Da+Lat+lobby&tbm=isch
24,5,"Hôtel Colline Đà Lạt","Đà Lạt",4,view,"View thành phố Đà Lạt từ ban công",,https://www.google.com/search?q=Hotel+Colline+Da+Lat+city+view+balcony&tbm=isch
25,5,"Hôtel Colline Đà Lạt","Đà Lạt",5,amenity,"Nhà hàng và quầy bar",,https://www.google.com/search?q=Hotel+Colline+Da+Lat+restaurant+bar&tbm=isch
26,6,"JW Marriott Phu Quoc","Phú Quốc",1,exterior,"Toàn cảnh kiến trúc Lamarck University",,https://www.google.com/search?q=JW+Marriott+Phu+Quoc+Emerald+Bay+exterior+aerial&tbm=isch
27,6,"JW Marriott Phu Quoc","Phú Quốc",2,room,"Emerald Bay Villa với hồ bơi riêng",,https://www.google.com/search?q=JW+Marriott+Phu+Quoc+villa+private+pool&tbm=isch
28,6,"JW Marriott Phu Quoc","Phú Quốc",3,pool,"Shell Pool và hồ bơi vô cực",,https://www.google.com/search?q=JW+Marriott+Phu+Quoc+shell+pool+infinity&tbm=isch
29,6,"JW Marriott Phu Quoc","Phú Quốc",4,view,"Bãi Khem biển xanh trong vắt",,https://www.google.com/search?q=JW+Marriott+Phu+Quoc+Bai+Khem+beach&tbm=isch
30,6,"JW Marriott Phu Quoc","Phú Quốc",5,amenity,"Nhà hàng Red Rum và ẩm thực",,https://www.google.com/search?q=JW+Marriott+Phu+Quoc+Red+Rum+restaurant&tbm=isch
31,7,"Regent Phu Quoc","Phú Quốc",1,exterior,"Mặt tiền resort ultra luxury hoàng hôn",,https://www.google.com/search?q=Regent+Phu+Quoc+resort+exterior+sunset&tbm=isch
32,7,"Regent Phu Quoc","Phú Quốc",2,room,"Suite hướng biển nội thất cao cấp",,https://www.google.com/search?q=Regent+Phu+Quoc+suite+ocean+view+room&tbm=isch
33,7,"Regent Phu Quoc","Phú Quốc",3,pool,"Hồ bơi vô cực view Bãi Trường",,https://www.google.com/search?q=Regent+Phu+Quoc+infinity+pool&tbm=isch
34,7,"Regent Phu Quoc","Phú Quốc",4,view,"Bãi biển riêng hoàng hôn",,https://www.google.com/search?q=Regent+Phu+Quoc+private+beach+sunset&tbm=isch
35,7,"Regent Phu Quoc","Phú Quốc",5,amenity,"Spa cao cấp và nhà hàng fine-dining",,https://www.google.com/search?q=Regent+Phu+Quoc+spa+fine+dining&tbm=isch
36,8,"Premier Village Phu Quoc","Phú Quốc",1,exterior,"Biệt thự trên đồi Mũi Ông Đội",,https://www.google.com/search?q=Premier+Village+Phu+Quoc+villa+hill+aerial&tbm=isch
37,8,"Premier Village Phu Quoc","Phú Quốc",2,room,"Phòng ngủ biệt thự 2PN view biển",,https://www.google.com/search?q=Premier+Village+Phu+Quoc+villa+bedroom&tbm=isch
38,8,"Premier Village Phu Quoc","Phú Quốc",3,pool,"Hồ bơi riêng trong biệt thự",,https://www.google.com/search?q=Premier+Village+Phu+Quoc+private+pool+villa&tbm=isch
39,8,"Premier Village Phu Quoc","Phú Quốc",4,view,"Hoàng hôn Mũi Ông Đội 2 mặt biển",,https://www.google.com/search?q=Premier+Village+Phu+Quoc+Mui+Ong+Doi+sunset&tbm=isch
40,8,"Premier Village Phu Quoc","Phú Quốc",5,amenity,"Bếp đầy đủ và khu BBQ",,https://www.google.com/search?q=Premier+Village+Phu+Quoc+kitchen+BBQ&tbm=isch
41,9,"New World Phu Quoc Resort","Phú Quốc",1,exterior,"Villa mái lá truyền thống nhiệt đới",,https://www.google.com/search?q=New+World+Phu+Quoc+Resort+villa+exterior&tbm=isch
42,9,"New World Phu Quoc Resort","Phú Quốc",2,room,"Phòng ngủ Garden Villa",,https://www.google.com/search?q=New+World+Phu+Quoc+Resort+garden+villa+room&tbm=isch
43,9,"New World Phu Quoc Resort","Phú Quốc",3,pool,"Hồ bơi chính trong resort",,https://www.google.com/search?q=New+World+Phu+Quoc+Resort+swimming+pool&tbm=isch
44,9,"New World Phu Quoc Resort","Phú Quốc",4,view,"Bãi Khem từ resort",,https://www.google.com/search?q=New+World+Phu+Quoc+Resort+Bai+Khem+beach&tbm=isch
45,9,"New World Phu Quoc Resort","Phú Quốc",5,amenity,"Nhà hàng và Kids Club",,https://www.google.com/search?q=New+World+Phu+Quoc+Resort+restaurant+kids+club&tbm=isch
46,10,"Radisson Blu Phu Quoc","Phú Quốc",1,exterior,"Mặt tiền resort hiện đại Bãi Dài",,https://www.google.com/search?q=Radisson+Blu+Resort+Phu+Quoc+exterior&tbm=isch
47,10,"Radisson Blu Phu Quoc","Phú Quốc",2,room,"Phòng Deluxe Ocean View",,https://www.google.com/search?q=Radisson+Blu+Resort+Phu+Quoc+ocean+view+room&tbm=isch
48,10,"Radisson Blu Phu Quoc","Phú Quốc",3,pool,"Hồ bơi chính view biển",,https://www.google.com/search?q=Radisson+Blu+Resort+Phu+Quoc+pool&tbm=isch
49,10,"Radisson Blu Phu Quoc","Phú Quốc",4,view,"Bãi biển Bãi Dài",,https://www.google.com/search?q=Radisson+Blu+Resort+Phu+Quoc+Bai+Dai+beach&tbm=isch
50,10,"Radisson Blu Phu Quoc","Phú Quốc",5,amenity,"Lobby và nhà hàng",,https://www.google.com/search?q=Radisson+Blu+Resort+Phu+Quoc+lobby+restaurant&tbm=isch
51,11,"Four Seasons The Nam Hai","Hội An",1,exterior,"Hồ bơi bậc thang cascading hướng biển",,https://www.google.com/search?q=Four+Seasons+Nam+Hai+Hoi+An+cascading+pools&tbm=isch
52,11,"Four Seasons The Nam Hai","Hội An",2,room,"Ocean Villa với hồ bơi riêng",,https://www.google.com/search?q=Four+Seasons+Nam+Hai+Hoi+An+ocean+villa+pool&tbm=isch
53,11,"Four Seasons The Nam Hai","Hội An",3,pool,"Hồ bơi Olympic view biển",,https://www.google.com/search?q=Four+Seasons+Nam+Hai+Hoi+An+main+pool+beach&tbm=isch
54,11,"Four Seasons The Nam Hai","Hội An",4,view,"Bãi biển Hà My cát trắng",,https://www.google.com/search?q=Four+Seasons+Nam+Hai+Hoi+An+Ha+My+beach&tbm=isch
55,11,"Four Seasons The Nam Hai","Hội An",5,amenity,"Spa đẳng cấp và nhà hàng La Sen",,https://www.google.com/search?q=Four+Seasons+Nam+Hai+Hoi+An+spa+La+Sen&tbm=isch
56,12,"Victoria Hội An Resort","Hội An",1,exterior,"Kiến trúc Đông Dương ven biển Cửa Đại",,https://www.google.com/search?q=Victoria+Hoi+An+Beach+Resort+exterior&tbm=isch
57,12,"Victoria Hội An Resort","Hội An",2,room,"Phòng Superior Garden View",,https://www.google.com/search?q=Victoria+Hoi+An+Resort+superior+room&tbm=isch
58,12,"Victoria Hội An Resort","Hội An",3,pool,"Hồ bơi lớn hướng biển",,https://www.google.com/search?q=Victoria+Hoi+An+Resort+swimming+pool+beach&tbm=isch
59,12,"Victoria Hội An Resort","Hội An",4,view,"Biển Cửa Đại từ resort",,https://www.google.com/search?q=Victoria+Hoi+An+Resort+Cua+Dai+beach&tbm=isch
60,12,"Victoria Hội An Resort","Hội An",5,amenity,"Xe sidecar dạo phố cổ",,https://www.google.com/search?q=Victoria+Hoi+An+Resort+sidecar+old+town&tbm=isch
61,13,"Hoiana Resort & Golf","Hội An",1,exterior,"Toàn cảnh quần thể aerial",,https://www.google.com/search?q=Hoiana+Resort+Golf+Hoi+An+aerial+view&tbm=isch
62,13,"Hoiana Resort & Golf","Hội An",2,room,"Hoiana Residences phòng ngủ",,https://www.google.com/search?q=Hoiana+Resort+Hoi+An+residences+room&tbm=isch
63,13,"Hoiana Resort & Golf","Hội An",3,pool,"Hồ bơi chính resort",,https://www.google.com/search?q=Hoiana+Resort+Hoi+An+swimming+pool&tbm=isch
64,13,"Hoiana Resort & Golf","Hội An",4,view,"Sân golf 18 lỗ quốc tế",,https://www.google.com/search?q=Hoiana+Resort+Hoi+An+golf+course&tbm=isch
65,13,"Hoiana Resort & Golf","Hội An",5,amenity,"Nhà hàng và casino giải trí",,https://www.google.com/search?q=Hoiana+Resort+Hoi+An+restaurant+casino&tbm=isch
66,14,"Anantara Hoi An Resort","Hội An",1,exterior,"Resort phong cách thuộc địa ven sông Thu Bồn",,https://www.google.com/search?q=Anantara+Hoi+An+Resort+exterior+Thu+Bon+river&tbm=isch
67,14,"Anantara Hoi An Resort","Hội An",2,room,"Phòng Deluxe Garden View",,https://www.google.com/search?q=Anantara+Hoi+An+Resort+deluxe+room&tbm=isch
68,14,"Anantara Hoi An Resort","Hội An",3,pool,"Hồ bơi giữa vườn nhiệt đới",,https://www.google.com/search?q=Anantara+Hoi+An+Resort+pool+tropical+garden&tbm=isch
69,14,"Anantara Hoi An Resort","Hội An",4,view,"Sông Thu Bồn buổi chiều",,https://www.google.com/search?q=Anantara+Hoi+An+Resort+Thu+Bon+river+view&tbm=isch
70,14,"Anantara Hoi An Resort","Hội An",5,amenity,"Du thuyền trên sông và lớp nấu ăn",,https://www.google.com/search?q=Anantara+Hoi+An+Resort+boat+cooking+class&tbm=isch
71,15,"Little Riverside Hoi An","Hội An",1,exterior,"Mặt tiền boutique hotel ven sông Hoài",,https://www.google.com/search?q=Little+Riverside+Hoi+An+exterior+river&tbm=isch
72,15,"Little Riverside Hoi An","Hội An",2,room,"Phòng River View Deluxe",,https://www.google.com/search?q=Little+Riverside+Hoi+An+river+view+room&tbm=isch
73,15,"Little Riverside Hoi An","Hội An",3,pool,"Hồ bơi vô cực rooftop view sông",,https://www.google.com/search?q=Little+Riverside+Hoi+An+infinity+pool+rooftop&tbm=isch
74,15,"Little Riverside Hoi An","Hội An",4,view,"View sông Hoài và phố cổ đêm",,https://www.google.com/search?q=Little+Riverside+Hoi+An+Hoai+river+night+view&tbm=isch
75,15,"Little Riverside Hoi An","Hội An",5,amenity,"Bar trên cao và spa",,https://www.google.com/search?q=Little+Riverside+Hoi+An+rooftop+bar+spa&tbm=isch
76,16,"InterContinental Nha Trang","Nha Trang",1,exterior,"Mặt tiền đường biển Trần Phú",,https://www.google.com/search?q=InterContinental+Nha+Trang+exterior+Tran+Phu&tbm=isch
77,16,"InterContinental Nha Trang","Nha Trang",2,room,"Phòng Classic Ocean View",,https://www.google.com/search?q=InterContinental+Nha+Trang+ocean+view+room&tbm=isch
78,16,"InterContinental Nha Trang","Nha Trang",3,pool,"Hồ bơi vô cực view biển",,https://www.google.com/search?q=InterContinental+Nha+Trang+infinity+pool&tbm=isch
79,16,"InterContinental Nha Trang","Nha Trang",4,view,"View biển Nha Trang panorama",,https://www.google.com/search?q=InterContinental+Nha+Trang+sea+view+panorama&tbm=isch
80,16,"InterContinental Nha Trang","Nha Trang",5,amenity,"Rooftop Bar và nhà hàng",,https://www.google.com/search?q=InterContinental+Nha+Trang+rooftop+bar+restaurant&tbm=isch
81,17,"Amiana Resort Nha Trang","Nha Trang",1,exterior,"Toàn cảnh resort bãi biển riêng",,https://www.google.com/search?q=Amiana+Resort+Nha+Trang+aerial+private+beach&tbm=isch
82,17,"Amiana Resort Nha Trang","Nha Trang",2,room,"Amiana Suite Ocean nội thất",,https://www.google.com/search?q=Amiana+Resort+Nha+Trang+suite+ocean+room&tbm=isch
83,17,"Amiana Resort Nha Trang","Nha Trang",3,pool,"Hồ bơi nước mặn ngoài trời",,https://www.google.com/search?q=Amiana+Resort+Nha+Trang+saltwater+pool&tbm=isch
84,17,"Amiana Resort Nha Trang","Nha Trang",4,view,"Bãi biển riêng và vịnh",,https://www.google.com/search?q=Amiana+Resort+Nha+Trang+private+beach+bay&tbm=isch
85,17,"Amiana Resort Nha Trang","Nha Trang",5,amenity,"Tắm bùn khoáng và spa",,https://www.google.com/search?q=Amiana+Resort+Nha+Trang+mud+bath+spa&tbm=isch
86,18,"Vinpearl Luxury Nha Trang","Nha Trang",1,exterior,"Resort trên đảo Hòn Tre và cáp treo",,https://www.google.com/search?q=Vinpearl+Luxury+Nha+Trang+Hon+Tre+cable+car&tbm=isch
87,18,"Vinpearl Luxury Nha Trang","Nha Trang",2,room,"Biệt thự Beach Front phòng ngủ",,https://www.google.com/search?q=Vinpearl+Luxury+Nha+Trang+beach+villa+room&tbm=isch
88,18,"Vinpearl Luxury Nha Trang","Nha Trang",3,pool,"Hồ bơi riêng trong biệt thự",,https://www.google.com/search?q=Vinpearl+Luxury+Nha+Trang+private+pool+villa&tbm=isch
89,18,"Vinpearl Luxury Nha Trang","Nha Trang",4,view,"View biển từ đảo Hòn Tre",,https://www.google.com/search?q=Vinpearl+Luxury+Nha+Trang+sea+view+island&tbm=isch
90,18,"Vinpearl Luxury Nha Trang","Nha Trang",5,amenity,"VinWonders và Aquarium",,https://www.google.com/search?q=Vinpearl+Luxury+Nha+Trang+VinWonders+Aquarium&tbm=isch
91,19,"Mia Resort Nha Trang","Nha Trang",1,exterior,"Resort boutique trên vách đá ven biển",,https://www.google.com/search?q=Mia+Resort+Nha+Trang+cliff+exterior&tbm=isch
92,19,"Mia Resort Nha Trang","Nha Trang",2,room,"Phòng Cliff View nội thất",,https://www.google.com/search?q=Mia+Resort+Nha+Trang+cliff+view+room&tbm=isch
93,19,"Mia Resort Nha Trang","Nha Trang",3,pool,"Hồ bơi vô cực view biển",,https://www.google.com/search?q=Mia+Resort+Nha+Trang+infinity+pool+ocean&tbm=isch
94,19,"Mia Resort Nha Trang","Nha Trang",4,view,"Bãi biển riêng biệt yên tĩnh",,https://www.google.com/search?q=Mia+Resort+Nha+Trang+private+beach&tbm=isch
95,19,"Mia Resort Nha Trang","Nha Trang",5,amenity,"Nhà hàng Sandals ven biển",,https://www.google.com/search?q=Mia+Resort+Nha+Trang+Sandals+restaurant&tbm=isch
96,20,"Alma Resort Cam Ranh","Nha Trang",1,exterior,"Toàn cảnh resort Địa Trung Hải aerial",,https://www.google.com/search?q=Alma+Resort+Cam+Ranh+aerial+view&tbm=isch
97,20,"Alma Resort Cam Ranh","Nha Trang",2,room,"Căn hộ 2PN phòng khách rộng",,https://www.google.com/search?q=Alma+Resort+Cam+Ranh+2+bedroom+apartment&tbm=isch
98,20,"Alma Resort Cam Ranh","Nha Trang",3,pool,"12 hồ bơi và waterpark",,https://www.google.com/search?q=Alma+Resort+Cam+Ranh+pool+waterpark&tbm=isch
99,20,"Alma Resort Cam Ranh","Nha Trang",4,view,"Bãi biển Bãi Dài Cam Ranh",,https://www.google.com/search?q=Alma+Resort+Cam+Ranh+Bai+Dai+beach&tbm=isch
100,20,"Alma Resort Cam Ranh","Nha Trang",5,amenity,"Kids Club và nhà hàng",,https://www.google.com/search?q=Alma+Resort+Cam+Ranh+kids+club+restaurant&tbm=isch
101,21,"Hotel de la Coupole MGallery","Sa Pa",1,exterior,"Mặt tiền kiến trúc Pháp cổ điển sương mù",,https://www.google.com/search?q=Hotel+de+la+Coupole+MGallery+Sapa+exterior&tbm=isch
102,21,"Hotel de la Coupole MGallery","Sa Pa",2,room,"Phòng Deluxe Valley View",,https://www.google.com/search?q=Hotel+de+la+Coupole+Sapa+deluxe+valley+room&tbm=isch
103,21,"Hotel de la Coupole MGallery","Sa Pa",3,pool,"Hồ bơi nước ấm trong nhà",,https://www.google.com/search?q=Hotel+de+la+Coupole+Sapa+indoor+warm+pool&tbm=isch
104,21,"Hotel de la Coupole MGallery","Sa Pa",4,view,"Sảnh Art Deco và lobby sang trọng",,https://www.google.com/search?q=Hotel+de+la+Coupole+Sapa+Art+Deco+lobby&tbm=isch
105,21,"Hotel de la Coupole MGallery","Sa Pa",5,amenity,"Kết nối nhà ga cáp treo Fansipan",,https://www.google.com/search?q=Hotel+de+la+Coupole+Sapa+Fansipan+cable+car&tbm=isch
106,22,"Silk Path Grand Sapa","Sa Pa",1,exterior,"Resort trên đồi view thung lũng Mường Hoa",,https://www.google.com/search?q=Silk+Path+Grand+Resort+Sapa+exterior+hill&tbm=isch
107,22,"Silk Path Grand Sapa","Sa Pa",2,room,"Grand Suite Valley phòng ngủ",,https://www.google.com/search?q=Silk+Path+Grand+Sapa+suite+valley+room&tbm=isch
108,22,"Silk Path Grand Sapa","Sa Pa",3,pool,"Hồ bơi vô cực nước ấm view núi",,https://www.google.com/search?q=Silk+Path+Grand+Sapa+infinity+pool+mountain&tbm=isch
109,22,"Silk Path Grand Sapa","Sa Pa",4,view,"Thung lũng Mường Hoa từ resort",,https://www.google.com/search?q=Silk+Path+Grand+Sapa+Muong+Hoa+valley+view&tbm=isch
110,22,"Silk Path Grand Sapa","Sa Pa",5,amenity,"Vườn hồng cổ và spa",,https://www.google.com/search?q=Silk+Path+Grand+Sapa+rose+garden+spa&tbm=isch
111,23,"Topas Ecolodge Sapa","Sa Pa",1,exterior,"Bungalow giữa núi rừng Hoàng Liên Sơn",,https://www.google.com/search?q=Topas+Ecolodge+Sapa+bungalow+mountain&tbm=isch
112,23,"Topas Ecolodge Sapa","Sa Pa",2,room,"Mountain Bungalow phòng ngủ",,https://www.google.com/search?q=Topas+Ecolodge+Sapa+bungalow+room+interior&tbm=isch
113,23,"Topas Ecolodge Sapa","Sa Pa",3,pool,"Hồ bơi vô cực view thung lũng",,https://www.google.com/search?q=Topas+Ecolodge+Sapa+infinity+pool+valley&tbm=isch
114,23,"Topas Ecolodge Sapa","Sa Pa",4,view,"Panorama thung lũng và ruộng bậc thang",,https://www.google.com/search?q=Topas+Ecolodge+Sapa+panorama+rice+terrace&tbm=isch
115,23,"Topas Ecolodge Sapa","Sa Pa",5,amenity,"Trekking và bếp lửa trại",,https://www.google.com/search?q=Topas+Ecolodge+Sapa+trekking+campfire&tbm=isch
116,24,"Pao's Sapa Leisure Hotel","Sa Pa",1,exterior,"Kiến trúc ruộng bậc thang độc đáo",,https://www.google.com/search?q=Pao+Sapa+Leisure+Hotel+exterior+architecture&tbm=isch
117,24,"Pao's Sapa Leisure Hotel","Sa Pa",2,room,"Phòng Premier Valley View",,https://www.google.com/search?q=Pao+Sapa+Leisure+Hotel+premier+room&tbm=isch
118,24,"Pao's Sapa Leisure Hotel","Sa Pa",3,pool,"Hồ bơi nước ấm",,https://www.google.com/search?q=Pao+Sapa+Leisure+Hotel+warm+pool&tbm=isch
119,24,"Pao's Sapa Leisure Hotel","Sa Pa",4,view,"View thung lũng Mường Hoa",,https://www.google.com/search?q=Pao+Sapa+Leisure+Hotel+valley+view&tbm=isch
120,24,"Pao's Sapa Leisure Hotel","Sa Pa",5,amenity,"Spa và nhà hàng",,https://www.google.com/search?q=Pao+Sapa+Leisure+Hotel+spa+restaurant&tbm=isch
121,25,"KK Sapa Hotel","Sa Pa",1,exterior,"Mặt tiền khách sạn 5 sao trung tâm",,https://www.google.com/search?q=KK+Sapa+Hotel+exterior&tbm=isch
122,25,"KK Sapa Hotel","Sa Pa",2,room,"Phòng Deluxe Mountain View",,https://www.google.com/search?q=KK+Sapa+Hotel+deluxe+mountain+view+room&tbm=isch
123,25,"KK Sapa Hotel","Sa Pa",3,pool,"Hồ bơi nước ấm trong nhà",,https://www.google.com/search?q=KK+Sapa+Hotel+indoor+pool&tbm=isch
124,25,"KK Sapa Hotel","Sa Pa",4,view,"View dãy Hoàng Liên Sơn",,https://www.google.com/search?q=KK+Sapa+Hotel+Hoang+Lien+Son+mountain+view&tbm=isch
125,25,"KK Sapa Hotel","Sa Pa",5,amenity,"Spa tắm lá thuốc và nhà hàng",,https://www.google.com/search?q=KK+Sapa+Hotel+herbal+bath+spa&tbm=isch
126,26,"InterContinental Danang","Đà Nẵng",1,exterior,"Aerial kiệt tác Bill Bensley Sơn Trà",,https://www.google.com/search?q=InterContinental+Danang+Sun+Peninsula+aerial&tbm=isch
127,26,"InterContinental Danang","Đà Nẵng",2,room,"Ocean View Classic phòng ngủ",,https://www.google.com/search?q=InterContinental+Danang+ocean+view+room&tbm=isch
128,26,"InterContinental Danang","Đà Nẵng",3,pool,"Hồ bơi và bãi biển riêng Bãi Bắc",,https://www.google.com/search?q=InterContinental+Danang+pool+private+beach&tbm=isch
129,26,"InterContinental Danang","Đà Nẵng",4,view,"View biển từ bán đảo Sơn Trà",,https://www.google.com/search?q=InterContinental+Danang+Son+Tra+sea+view&tbm=isch
130,26,"InterContinental Danang","Đà Nẵng",5,amenity,"La Maison 1888 nhà hàng Michelin",,https://www.google.com/search?q=InterContinental+Danang+La+Maison+1888+restaurant&tbm=isch
131,27,"Pullman Danang Beach","Đà Nẵng",1,exterior,"Mặt tiền resort bãi biển Mỹ Khê",,https://www.google.com/search?q=Pullman+Danang+Beach+Resort+exterior&tbm=isch
132,27,"Pullman Danang Beach","Đà Nẵng",2,room,"Phòng Deluxe Ocean",,https://www.google.com/search?q=Pullman+Danang+Beach+deluxe+ocean+room&tbm=isch
133,27,"Pullman Danang Beach","Đà Nẵng",3,pool,"Hồ bơi vô cực view biển",,https://www.google.com/search?q=Pullman+Danang+Beach+infinity+pool&tbm=isch
134,27,"Pullman Danang Beach","Đà Nẵng",4,view,"Bãi biển Mỹ Khê nắng vàng",,https://www.google.com/search?q=Pullman+Danang+Beach+My+Khe+beach&tbm=isch
135,27,"Pullman Danang Beach","Đà Nẵng",5,amenity,"Kids Club và Nắng Spa",,https://www.google.com/search?q=Pullman+Danang+Beach+kids+club+Nang+Spa&tbm=isch
136,28,"Hyatt Regency Danang","Đà Nẵng",1,exterior,"Toàn cảnh resort Non Nước",,https://www.google.com/search?q=Hyatt+Regency+Danang+Resort+aerial&tbm=isch
137,28,"Hyatt Regency Danang","Đà Nẵng",2,room,"Regency Suite Sea View",,https://www.google.com/search?q=Hyatt+Regency+Danang+suite+sea+view+room&tbm=isch
138,28,"Hyatt Regency Danang","Đà Nẵng",3,pool,"5 hồ bơi đa dạng",,https://www.google.com/search?q=Hyatt+Regency+Danang+5+pools&tbm=isch
139,28,"Hyatt Regency Danang","Đà Nẵng",4,view,"Bãi biển Non Nước",,https://www.google.com/search?q=Hyatt+Regency+Danang+Non+Nuoc+beach&tbm=isch
140,28,"Hyatt Regency Danang","Đà Nẵng",5,amenity,"Kids Club chuyên nghiệp",,https://www.google.com/search?q=Hyatt+Regency+Danang+kids+club&tbm=isch
141,29,"Naman Retreat Đà Nẵng","Đà Nẵng",1,exterior,"Villa tre tự nhiên kiến trúc độc đáo",,https://www.google.com/search?q=Naman+Retreat+Danang+bamboo+architecture&tbm=isch
142,29,"Naman Retreat Đà Nẵng","Đà Nẵng",2,room,"Naman Pool Villa phòng ngủ",,https://www.google.com/search?q=Naman+Retreat+Danang+pool+villa+room&tbm=isch
143,29,"Naman Retreat Đà Nẵng","Đà Nẵng",3,pool,"Hồ bơi riêng trong villa tre",,https://www.google.com/search?q=Naman+Retreat+Danang+private+pool+bamboo&tbm=isch
144,29,"Naman Retreat Đà Nẵng","Đà Nẵng",4,view,"Bãi biển và vườn thiền",,https://www.google.com/search?q=Naman+Retreat+Danang+beach+zen+garden&tbm=isch
145,29,"Naman Retreat Đà Nẵng","Đà Nẵng",5,amenity,"Nhà hàng Hay Hay và Wellness",,https://www.google.com/search?q=Naman+Retreat+Danang+Hay+Hay+restaurant+wellness&tbm=isch
